knowledge_id,knowledge_unit
1,Temperature
2,Melting and solidification
3,Vaporization and liquefaction
4,Mass
5,Density
6,Reference
7,Measurement
8,Speed
9,Force
10,Balanced Forces
11,Elasticity
12,Gravity
13,Friction
14,Lever
15,Pulley
16,Pressure
17,Atmospheric Pressure
18,Fluid Pressure
19,Buoyancy
20,Generation and propagation of sound
21,Characteristics of sound
22,Utilization of sound
23,Propagation of light
24,Plane mirror imaging
25,Reflection and refraction of light
26,Dispersion of light
27,Lenses
28,Lenses in life
29,Work and power
30,Energy
